baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_id,gene_symbol,regulation_level
5415.66262418704,-0.104764569514798,0.100737834576094,0.234910672930225,0.547358983686544,ENSG00000160072,ATAD3B,Unchanged
16.5552445505685,0.0447841483006327,0.205221094244154,0.391911595995634,0.697176238429103,ENSG00000279928,NA,Unchanged
11.5592879141854,-0.00371708436856148,0.199982640404531,0.931023084645048,0.980277209123044,ENSG00000228037,LOC100996583,Unchanged
610.398867852283,-0.0717093091083121,0.144782511954396,0.49654776849472,0.772723014835591,ENSG00000142611,PRDM16,Unchanged
837.500533886679,0.0866701973707883,0.119502227910402,0.376405172642275,0.684743755227056,ENSG00000157911,PEX10,Unchanged
111.569657058439,-0.463911809699927,0.329401036921376,0.0120962272598008,0.0895361584545207,ENSG00000269896,NA,Unchanged
6.43312026515645,-0.0255614298293602,0.205073585241869,0.425109693455438,0.721372987756268,ENSG00000228463,RPL23AP21,Unchanged
11.5622575624003,0.0389949915383391,0.205486727290801,0.388780817716575,0.694359514910148,ENSG00000224340,RPL21P21,Unchanged
1676.34588575292,-0.0621305722988932,0.117771918191284,0.542580791126393,0.802505429608546,ENSG00000142655,PEX14,Unchanged
89.8418880557646,-0.100736623332486,0.203803493364631,0.296412961497869,0.612595128532532,ENSG00000149527,PLCH2,Unchanged
889.318565486935,-0.051280691232186,0.106060660845486,0.577885941752561,0.823070093106862,ENSG00000171621,SPSB1,Unchanged
23.298771305479,0.0718253650087465,0.210181509415312,0.28844991214025,0.604770912073248,ENSG00000272235,NA,Unchanged
2.74657013979839,0.0292172198008067,0.207887466444167,0.0671806767452172,NA,ENSG00000285629,NA,Unchanged
7.91572324314158,0.0571415450375357,0.215845050464512,0.0362310011943568,0.186526794792398,ENSG00000142583,SLC2A5,Unchanged
3727.73101519749,-0.116980045649846,0.109195931267858,0.217263097783481,0.525380372117842,ENSG00000116786,PLEKHM2,Unchanged
64.2551135822155,-0.0736499593612231,0.202120998647123,0.363068968557103,0.67422175993005,ENSG00000287727,NA,Unchanged
2.16636279884986,0.0260468142183673,0.206970048785282,0.21072389011633,NA,ENSG00000284703,NA,Unchanged
52.8338914472101,0.0893981039585101,0.205504508327895,0.309701938536145,0.625778186283251,ENSG00000226457,RPL22P3,Unchanged
720.463226426992,-0.153131689293218,0.120344674562968,0.105328385081689,0.356712778436673,ENSG00000173614,NMNAT1,Unchanged
31.6156774750745,0.0287244303030741,0.198457353866348,0.634255674979723,0.855283650909532,ENSG00000215720,NA,Unchanged
27.6384343074113,0.0412857329600998,0.202607438393576,0.469672205958121,0.75452095610539,ENSG00000233623,PGAM1P11,Unchanged
7.29314057906266,0.059532096683243,0.216164552879482,0.0566119211258699,0.247290973233242,ENSG00000162592,CCDC27,Unchanged
790.971061798544,0.3910918564013,0.164871862281453,0.0028956348416361,0.0318704267920203,ENSG00000116254,CHD5,Unchanged
145.61118656091,0.0643208293014165,0.181192844124135,0.507023736138033,0.779829906220855,ENSG00000204624,DISP3,Unchanged
23.9821291958891,-0.0370594741941946,0.204074891304838,0.445991544075565,0.736905765159108,ENSG00000142606,MMEL1,Unchanged
1017.27273933235,-0.0721713047533617,0.0960628542084083,0.393458983250421,0.698257179481928,ENSG00000171729,TMEM51,Unchanged
316.993423949964,0.0919198406439119,0.167647167243824,0.393831892902919,0.698522690738064,ENSG00000279457,NA,Unchanged
7.2225345267508,0.0160649897586133,0.203321696951745,0.6341061444544,0.855178684211387,ENSG00000162571,TTLL10,Unchanged
2685.11860842994,-0.0391929224478573,0.0771323689258303,0.590818485444362,0.830364250579264,ENSG00000037637,FBXO42,Unchanged
1096.25730910507,-0.165933461790775,0.12927082139467,0.141242662251783,0.42123293871151,ENSG00000159423,ALDH4A1,Unchanged
957.230339707641,-0.00761834287562028,0.138555971031391,0.93732686667349,0.982303614953676,ENSG00000011021,CLCN6,Unchanged
1.68013251865338,0.0153488747429905,0.205607556538371,0.358485129408588,NA,ENSG00000142615,CELA2A,Unchanged
10.2837336117698,0.00855811708432608,0.201129532215131,0.832383512340636,0.945806013916672,ENSG00000215704,CELA2B,Unchanged
4799.2312531796,-0.0605157309409324,0.0896205982947969,0.44970400239806,0.739975745787521,ENSG00000157916,RER1,Unchanged
1525.91712508947,-0.0855802288113189,0.102150171357249,0.31652271242931,0.632786933464231,ENSG00000157881,PANK4,Unchanged
50.2414514638342,0.152095634916361,0.254514528311505,0.10832510980581,0.362515200006319,ENSG00000238290,NA,Unchanged
6673.06185810736,-0.432029985131911,0.0667786276659866,1.90000152971957e-11,3.62431460630144e-09,ENSG00000048707,VPS13D,Unchanged
659.207270311229,-0.0247377152702654,0.125326365413493,0.798720862995686,0.932974420655226,ENSG00000162444,RBP7,Unchanged
1135.5634106736,0.1815965261005,0.130109381216479,0.0851563047829662,0.315132914756731,ENSG00000180758,GPR157,Unchanged
4148.12614797481,0.0616031043070654,0.0730813438928997,0.366393190559447,0.676488432138382,ENSG00000184677,ZBTB40,Unchanged
396.217849960646,-0.0505376755593186,0.133286912239945,0.603986279470389,0.83835732672669,ENSG00000288398,NA,Unchanged
18.7393276205502,0.0275078910115479,0.199812575126762,0.616966582803191,0.846323153697247,ENSG00000224621,NA,Unchanged
1437.41154071613,0.030154753557331,0.0955391403414965,0.750053401847098,0.910266462011264,ENSG00000131697,NPHP4,Unchanged
8.27925160526019,-0.0338686791635962,0.205920638592556,0.367988142103196,0.677951115775996,ENSG00000233929,NA,Unchanged
