baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_id,gene_symbol,regulation_level
52.4541467325468,-0.0441377863897255,0.305068655987586,0.833667237244236,0.944037420039622,ENSMUSG00000102135,NA,Unchanged
2.3050387265308,0.0490116047952633,0.424416877992896,0.461338908495346,NA,ENSMUSG00000100480,NA,Unchanged
18.8680659130895,0.0145168256484831,0.373544881086318,0.938663587298539,0.980414980877933,ENSMUSG00000100025,Gm8141,Unchanged
715.374497883566,0.798492966001469,0.178272493464371,1.5024756121663e-06,2.7870255826567e-05,ENSMUSG00000051285,Pcmtd1,Unchanged
4.70997723005058,0.0416321020711194,0.410735102418063,0.721544867286839,0.900051613497962,ENSMUSG00000098201,NA,Unchanged
130.535542746994,0.564372788350531,0.378990440418585,0.0336471084084789,0.149245813897461,ENSMUSG00000103509,NA,Unchanged
89.8817245600479,0.018068593171092,0.276128574193664,0.933831331268335,0.979398846815527,ENSMUSG00000048538,NA,Unchanged
90.042352514315,-0.138434311044422,0.285445556683998,0.517877733341254,0.79208731319542,ENSMUSG00000097797,NA,Unchanged
19.9050859952014,0.310598200919999,0.480142266865225,0.151808260102978,0.414660865944702,ENSMUSG00000103067,NA,Unchanged
2.79518814862227,0.121190232181719,0.448490386270124,0.0401551340477447,0.169366062358458,ENSMUSG00000026312,Cdh7,Unchanged
9816.47706034135,0.440457920606232,0.129020099089971,0.000326688854927413,0.00335504905516977,ENSMUSG00000039748,Exo1,Unchanged
6.49067920160346,0.117213644853183,0.426201159309351,0.363156584444121,0.670712422216224,ENSMUSG00000118715,Gm23805,Unchanged
1687.05648856124,-0.292396314009482,0.136676810829075,0.0234992213486818,0.114168340217666,ENSMUSG00000057363,Uxs1,Unchanged
12.4969430311011,-0.223522285203028,0.465080031865485,0.188912257714467,0.473369534842606,ENSMUSG00000090243,NA,Unchanged
43.437920312002,0.0749482716441165,0.335347520073677,0.723240510996674,0.900692659414321,ENSMUSG00000100701,NA,Unchanged
2.62388662268765,-0.0386864530334642,0.419507746939888,0.639691131055967,0.862424141261832,ENSMUSG00000100555,Gm8173,Unchanged
2.37228342744866,-0.0154612331690348,0.41814910907823,0.840778786285825,NA,ENSMUSG00000101395,NA,Unchanged
3.31192220684727,0.0763041720886974,0.430063318141761,0.278251146645011,0.58738318058659,ENSMUSG00000102728,NA,Unchanged
195.0958445644,0.514038374521598,0.243760380987423,0.012729533291127,0.0711645041034715,ENSMUSG00000038702,Dsel,Unchanged
6.43330294812805,0.0523701367258741,0.413997235230528,0.640222043932332,0.86295435019773,ENSMUSG00000101875,Gm6028,Unchanged
117.402246365169,0.186233091652568,0.27901748084032,0.385722142183056,0.692103141146803,ENSMUSG00000097648,NA,Unchanged
25.8349594335447,0.0802697618655775,0.360993541878596,0.686953516028285,0.8857269422545,ENSMUSG00000078184,NA,Unchanged
2.85642381878877,0.00112008602275697,0.416938412429907,0.992325930139266,0.997254979428649,ENSMUSG00000104021,Gm36536,Unchanged
8.06935762036775,0.141982240659857,0.430956464386903,0.316856404561851,0.629378882649119,ENSMUSG00000103471,Gm17966,Unchanged
35.2288030295865,0.168847126124706,0.357326029368414,0.435673092446651,0.731042279839519,ENSMUSG00000033007,Asic4,Unchanged
31.4004504519865,0.0826242413205271,0.351965146739213,0.687054087799949,0.885758231643635,ENSMUSG00000025909,Sntg1,Unchanged
12.3549778444624,0.0200729223788191,0.382484593221257,0.908088098580809,0.971221504984398,ENSMUSG00000084353,NA,Unchanged
34.8399083674489,-0.391215548059189,0.445548449291052,0.124769183455664,0.365640311066475,ENSMUSG00000103933,NA,Unchanged
2.23847684111595,-0.00618804503964255,0.415907188623619,0.940855334988861,NA,ENSMUSG00002075967,NA,Unchanged
4.47010063921554,-0.074195533939017,0.415124758883608,0.539954672164821,0.806379040268061,ENSMUSG00000066693,NA,Unchanged
4217.80506182899,-0.0612659512935546,0.139378169785394,0.63285977420043,0.859315780409477,ENSMUSG00000061024,Rrs1,Unchanged
8.61590119715433,0.287742246592604,0.540611413794693,0.0630758806009701,0.233732869530437,ENSMUSG00000102030,NA,Unchanged
164.598002230953,-0.798291460575865,0.274970260684191,0.000723766138742719,0.00671773907976634,ENSMUSG00000025911,Adhfe1,Unchanged
1.99658707079534,0.00385367232458172,0.419064824313146,0.959335489319678,NA,ENSMUSG00000067879,Vxn,Unchanged
690.601095088132,0.977175255073307,0.196173652953123,8.93973088206568e-08,2.04561597437341e-06,ENSMUSG00000057335,Cep170,Unchanged
2.7312699278842,0.0328124286139033,0.418590594944774,0.695513463309823,0.890066374946457,ENSMUSG00000103435,NA,Unchanged
2.33687624897045,0.0985624732405214,0.440153673220467,0.0682341738464334,NA,ENSMUSG00000100551,NA,Unchanged
201.967736295057,0.407179488527829,0.26476305714084,0.0577982437382417,0.219711477786086,ENSMUSG00000025912,Mybl1,Unchanged
1407.09540599359,0.473089049005999,0.189330664342896,0.00545629190586676,0.0360650138691627,ENSMUSG00000045210,Vcpip1,Unchanged
6809.14588390568,0.205466897566773,0.13770873092344,0.114637355930483,0.347079074209672,ENSMUSG00000041763,Tpp2,Unchanged
264.349443705354,0.679782837322669,0.251871684439418,0.00164011014789938,0.0132300811833929,ENSMUSG00000026504,Sdccag8,Unchanged
15.2350076943397,0.131071206552772,0.413065657326363,0.421578583092797,0.721074969502056,ENSMUSG00000047343,Mettl21c,Unchanged
2.090560383085,0.0727574175868673,0.433145024164782,0.11592473996253,NA,ENSMUSG00000091844,Ccdc168,Unchanged
